264	H.264/MPEG-4 AVC video file
evtx	Microsoft Windows Vista, Windows 7, Windows 8 event log file
gadget	Windows sidebar gadget file
idx	Index file
inf	Windows installation script file
kext	Apple Mac OS X Kernel extension file
key	Microsoft Windows 7 registry key
mui	MultiLanguage Windows resource file
ocx	ActiveX control file
reg	Windows registry data file
rom	Read Only Memory image (emulators/AONs)
scr	Microsoft Windows screensaver file
sfcache	ReadyBoost cache file
swp	Swap file
sys	System file
vxd	Microsoft Windows virtual device driver
alx	BlackBerry application loader file
ccd	CloneCD disk image
cnf	Network configuration file
contact	Microsoft Windows contact file
cue	Cue sheet description
deskthemepack	Microsoft Windows theme pack file
ics	iCalendar calendar file format (Microsoft Outlook, Apple iCal)
ifo	DVD movie information file format
lnk	Windows Shortcut file
lrtemplate	Adobe Photoshop Lightroom preset settings file
m3u	MP3 songs playlist file
m3u8	UTF-8 M3U playlist file
mui	MultiLanguage Windows resource file
plist	Apple property list XML file
pro	Profile file
skn	Skin file
svp	Virtual DJ visualization effects
template	Template file
theme	Windows Desktop Theme file
themepack	Microsoft Windows 7 theme pack file
thm	Sony Ericsson mobile phone theme file
thmx	Microsoft Office 2007/2010 theme file
trm	Terminal settings file
wba	WindowBlinds Desktop visual style
crx	Google Chrome extension installer file format
plugin	Plugin file
safariextz	Apple Safari extension file
xpi	Firefox browser extension file
asm	Assembler source code file
asp	Active Server Page script page
aspx	Active Server Page Extended ASP.NET script file
bat	Batch file (executable)
htm	HTML Hypertext Markup Language web page file
inc	Include file
jad	Java application descriptor file
java	Java language source code file
js	JavaScript file
json	JavaScript object notation file
jsp	JAVA Server page file
lib	Microsoft Linker input library file
o	Object file
php	PHP script or page
rc	Microsoft Visual Studio Visual C/C++ resource script file
rss	Really Simple Syndication - RSS file format
scpt	AppleScript script file
src	Generally source code file
vbs	Visual Basic script file
xml	XML document file
xsd	XML schema description file
xsl	XML eXtensible stylesheet
xslt	XSL transform file
cfg	Configuration files
cnf	Network configuration file
ini	Text configuration file
pro	Profile file
reg	Windows registry data file
usr	User specific settings file
dmp	Memory dump, screen dump, junk files
log	Log file
asec	Google Android encrypted application package file
crypt	WhatsApp Messenger encrypted message database backup file
ksd	KeepSafe encrypted file
pfx	Certificate file
pkpass	Apple Passbook pass file
rem	BlackBerry encrypted data file
tc	TrueCrypt disk volume file
!ut	uTorrent incomplete download file
adadownload	Adobe Download Assistant partially completed download file
bc	BitTorrent unfinished download file
bc!	Bittorrent unfinished download file
blf	Microsoft Windows registry file
cache	Generally cache file
crdownload	Google Chrome incomplete download file
dmp	Memory dump, screen dump, junk files
download	Apple Safari partial download file
download	Chrome partial download file
download	Mozilla partial download file
part	Partial download file
partial	Microsoft Internet Explorer partially downloaded file
temp	Temporary file
tmp	Temporary file
3dr	3DMark result
cal	Calendar file
class	Java bytecode class
dat	Program data file
dct	Spell checking dictionary file
dic	Dictionary file
dmp	Memory dump, screen dump, junk files
eng	English language localization file
gbk	Delphi runimage iblocal examples file
lng	Language definition file
log	Log file
md5	Checksum file
prj	Project file
ref	Reference file
rep	Generally report file
rsc	Resource file
tbl	Table file
upd	Update file
upg	Firmware upgrade file
